event_local_ts_ms,base_coin,trigger,calc_local_ts_ms,okx_local_recv_ts_ms,okx_ts_ms,bybit_local_recv_ts_ms,bybit_ts_ms,okx_bid_price,okx_bid_size,okx_ask_price,okx_ask_size,bybit_bid_price,bybit_bid_size,bybit_ask_price,bybit_ask_size
1788423721811,SOL,okx,1788423721813,1788423721810,1788423721806,1788423721810,1788423721807,140.03308431883636,1.0,140.04708431883637,1.0,139.99409763691492,1.0,140.00809763691493,1.0
1788423722813,SOL,okx,1788423722815,1788423722812,1788423722808,1788423722812,1788423722809,140.03870370310383,1.0,140.05270370310384,1.0,139.98972218388565,1.0,140.00372218388566,1.0
1788423724408,SOL,bybit,1788423724410,1788423724407,1788423724403,1788423724407,1788423724404,140.04952913266743,1.0,140.06352913266744,1.0,140.00776186897298,1.0,140.021761868973,1.0
1788423726595,SOL,bybit,1788423726597,1788423726594,1788423726590,1788423726594,1788423726591,140.04700314359843,1.0,140.06100314359844,1.0,139.99828952821653,1.0,140.01228952821654,1.0
1788423727910,SOL,okx,1788423727912,1788423727909,1788423727905,1788423727909,1788423727906,140.0405671949485,1.0,140.0545671949485,1.0,140.00637340497636,1.0,140.02037340497637,1.0
1788423729290,SOL,bybit,1788423729292,1788423729289,1788423729285,1788423729289,1788423729286,140.04117226787724,1.0,140.05517226787725,1.0,139.9999609531075,1.0,140.0139609531075,1.0
1788423730563,SOL,okx,1788423730565,1788423730562,1788423730558,1788423730562,1788423730559,140.04093714271698,1.0,140.054937142717,1.0,139.99524262665764,1.0,140.00924262665765,1.0
1788423732586,SOL,okx,1788423732588,1788423732585,1788423732581,1788423732585,1788423732582,140.05645782745273,1.0,140.07045782745274,1.0,139.99819106648036,1.0,140.01219106648037,1.0
1788423733819,SOL,bybit,1788423733821,1788423733818,1788423733814,1788423733818,1788423733815,140.0579977615961,1.0,140.07199776159612,1.0,139.99678428090945,1.0,140.01078428090946,1.0
1788423736302,SOL,bybit,1788423736304,1788423736301,1788423736297,1788423736301,1788423736298,140.03515969544247,1.0,140.04915969544248,1.0,140.00122042696404,1.0,140.01522042696405,1.0
1788423737858,SOL,bybit,1788423737860,1788423737857,1788423737853,1788423737857,1788423737854,140.03892217195911,1.0,140.05292217195912,1.0,139.9988250839225,1.0,140.0128250839225,1.0
1788423739470,SOL,okx,1788423739472,1788423739469,1788423739465,1788423739469,1788423739466,140.05613577139636,1.0,140.07013577139637,1.0,139.99964983606344,1.0,140.01364983606345,1.0
1788423741127,SOL,bybit,1788423741129,1788423741126,1788423741122,1788423741126,1788423741123,140.0195760402332,1.0,140.0335760402332,1.0,139.9924046385166,1.0,140.0064046385166,1.0
1788423742917,SOL,bybit,1788423742919,1788423742916,1788423742912,1788423742916,1788423742913,140.04130455115785,1.0,140.05530455115786,1.0,139.9967363133307,1.0,140.0107363133307,1.0
1788423744657,SOL,bybit,1788423744659,1788423744656,1788423744652,1788423744656,1788423744653,140.0632147730714,1.0,140.0772147730714,1.0,140.01428268510415,1.0,140.02828268510416,1.0
1788423746323,SOL,okx,1788423746325,1788423746322,1788423746318,1788423746322,1788423746319,140.06265501956634,1.0,140.07665501956635,1.0,139.9983117801963,1.0,140.0123117801963,1.0
1788423748815,SOL,okx,1788423748817,1788423748814,1788423748810,1788423748814,1788423748811,140.05444350818243,1.0,140.06844350818244,1.0,139.99608908644578,1.0,140.0100890864458,1.0
1788423750988,SOL,bybit,1788423750990,1788423750987,1788423750983,1788423750987,1788423750984,140.05351963680465,1.0,140.06751963680466,1.0,140.00622722645005,1.0,140.02022722645006,1.0
1788423753135,SOL,bybit,1788423753137,1788423753134,1788423753130,1788423753134,1788423753131,140.06125731460665,1.0,140.07525731460666,1.0,140.01410972240265,1.0,140.02810972240266,1.0
1788423755125,SOL,okx,1788423755127,1788423755124,1788423755120,1788423755124,1788423755121,140.0432026585938,1.0,140.0572026585938,1.0,139.99444427817897,1.0,140.00844427817898,1.0
1788423756982,SOL,bybit,1788423756984,1788423756981,1788423756977,1788423756981,1788423756978,140.07240141999714,1.0,140.08640141999715,1.0,140.003501662702,1.0,140.01750166270202,1.0
1788423758361,SOL,bybit,1788423758363,1788423758360,1788423758356,1788423758360,1788423758357,140.0480286656289,1.0,140.0620286656289,1.0,140.00078829333896,1.0,140.01478829333897,1.0
1788423760842,SOL,bybit,1788423760844,1788423760841,1788423760837,1788423760841,1788423760838,140.04232694595822,1.0,140.05632694595823,1.0,139.9933370748986,1.0,140.0073370748986,1.0
1788424003507,SOL,bybit,1788424003509,1788424003506,1788424003502,1788424003506,1788424003503,140.11998424667652,1.0,140.13398424667653,1.0,140.0463539564658,1.0,140.0603539564658,1.0
1788424005545,SOL,bybit,1788424005547,1788424005544,1788424005540,1788424005544,1788424005541,140.1095104301041,1.0,140.12351043010412,1.0,140.04123781013809,1.0,140.0552378101381,1.0
1788424009157,SOL,okx,1788424009159,1788424009156,1788424009152,1788424009156,1788424009153,140.10955343450559,1.0,140.1235534345056,1.0,140.04223759797148,1.0,140.0562375979715,1.0
1788424011057,SOL,okx,1788424011059,1788424011056,1788424011052,1788424011056,1788424011053,140.09362994110953,1.0,140.10762994110954,1.0,140.03664501937362,1.0,140.05064501937363,1.0
1788424014700,SOL,bybit,1788424014702,1788424014699,1788424014695,1788424014699,1788424014696,140.1146459051955,1.0,140.1286459051955,1.0,140.04542223246355,1.0,140.05942223246356,1.0
1788424017731,SOL,bybit,1788424017733,1788424017730,1788424017726,1788424017730,1788424017727,140.10300369338225,1.0,140.11700369338226,1.0,140.03873064885585,1.0,140.05273064885586,1.0
1788424019517,SOL,okx,1788424019519,1788424019516,1788424019512,1788424019516,1788424019513,140.12390328666405,1.0,140.13790328666406,1.0,140.04166036404766,1.0,140.05566036404767,1.0
1788424021126,SOL,bybit,1788424021128,1788424021125,1788424021121,1788424021125,1788424021122,140.11147005064848,1.0,140.1254700506485,1.0,140.03504095344422,1.0,140.04904095344423,1.0
1788424023737,SOL,bybit,1788424023739,1788424023736,1788424023732,1788424023736,1788424023733,140.10324316005418,1.0,140.1172431600542,1.0,140.03450709875042,1.0,140.04850709875043,1.0
1788424025326,SOL,bybit,1788424025328,1788424025325,1788424025321,1788424025325,1788424025322,140.12893868016008,1.0,140.14293868016009,1.0,140.0525012073232,1.0,140.0665012073232,1.0
1788424027179,SOL,bybit,1788424027181,1788424027178,1788424027174,1788424027178,1788424027175,140.10480925487892,1.0,140.11880925487893,1.0,140.03975568180624,1.0,140.05375568180625,1.0
1788424029966,SOL,okx,1788424029968,1788424029965,1788424029961,1788424029965,1788424029962,140.12609922398602,1.0,140.14009922398603,1.0,140.04557357593046,1.0,140.05957357593047,1.0
1788424033891,SOL,bybit,1788424033893,1788424033890,1788424033886,1788424033890,1788424033887,140.11209318831806,1.0,140.12609318831807,1.0,140.04360672303181,1.0,140.05760672303182,1.0
1788424036556,SOL,bybit,1788424036558,1788424036555,1788424036551,1788424036555,1788424036552,140.1159076871906,1.0,140.1299076871906,1.0,140.0409617458124,1.0,140.05496174581242,1.0
1788424040077,SOL,okx,1788424040079,1788424040076,1788424040072,1788424040076,1788424040073,140.0945191294979,1.0,140.10851912949792,1.0,140.04076069165882,1.0,140.05476069165883,1.0
1788424043869,SOL,okx,1788424043871,1788424043868,1788424043864,1788424043868,1788424043865,140.12090196099993,1.0,140.13490196099994,1.0,140.0490062697023,1.0,140.0630062697023,1.0
1788424047427,SOL,bybit,1788424047429,1788424047426,1788424047422,1788424047426,1788424047423,140.09161949407383,1.0,140.10561949407384,1.0,140.04273716265217,1.0,140.05673716265218,1.0
1788424050500,SOL,bybit,1788424050502,1788424050499,1788424050495,1788424050499,1788424050496,140.0888070221414,1.0,140.1028070221414,1.0,140.04400410868504,1.0,140.05800410868505,1.0
1788424053103,SOL,okx,1788424053105,1788424053102,1788424053098,1788424053102,1788424053099,140.10942557517672,1.0,140.12342557517673,1.0,140.0453967439628,1.0,140.05939674396282,1.0
1788424055888,SOL,bybit,1788424055890,1788424055887,1788424055883,1788424055887,1788424055884,140.1108374980489,1.0,140.12483749804892,1.0,140.05366174902235,1.0,140.06766174902236,1.0
1788424058053,SOL,okx,1788424058055,1788424058052,1788424058048,1788424058052,1788424058049,140.11927838164206,1.0,140.13327838164207,1.0,140.05033046041152,1.0,140.06433046041153,1.0
1788424060795,SOL,bybit,1788424060797,1788424060794,1788424060790,1788424060794,1788424060791,140.14048687486462,1.0,140.15448687486463,1.0,140.04841934441703,1.0,140.06241934441704,1.0
1788424063243,SOL,okx,1788424063245,1788424063242,1788424063238,1788424063242,1788424063239,140.09936586420912,1.0,140.11336586420913,1.0,140.04194799529958,1.0,140.0559479952996,1.0
1788424065361,SOL,okx,1788424065363,1788424065360,1788424065356,1788424065360,1788424065357,140.09593454024048,1.0,140.1099345402405,1.0,140.03634775482473,1.0,140.05034775482474,1.0
1788424069344,SOL,okx,1788424069346,1788424069343,1788424069339,1788424069343,1788424069340,140.12148550786273,1.0,140.13548550786274,1.0,140.05290280956024,1.0,140.06690280956025,1.0
1788424161379,SOL,okx,1788424161381,1788424161378,1788424161374,1788424161378,1788424161375,140.11761713198314,1.0,140.13161713198315,1.0,140.05576353261125,1.0,140.06976353261126,1.0
1788424163670,SOL,bybit,1788424163672,1788424163669,1788424163665,1788424163669,1788424163666,140.10205713961204,1.0,140.11605713961205,1.0,140.0480150410101,1.0,140.0620150410101,1.0
1788424166247,SOL,bybit,1788424166249,1788424166246,1788424166242,1788424166246,1788424166243,140.1061554488214,1.0,140.1201554488214,1.0,140.05279108039142,1.0,140.06679108039143,1.0
1788424171154,SOL,okx,1788424171156,1788424171153,1788424171149,1788424171153,1788424171150,140.1173242538348,1.0,140.1313242538348,1.0,140.05445255979146,1.0,140.06845255979147,1.0
1788424175230,SOL,okx,1788424175232,1788424175229,1788424175225,1788424175229,1788424175226,140.1150374878942,1.0,140.1290374878942,1.0,140.05477654070805,1.0,140.06877654070806,1.0
1788424179875,SOL,bybit,1788424179877,1788424179874,1788424179870,1788424179874,1788424179871,140.09756902478912,1.0,140.11156902478913,1.0,140.05536775258943,1.0,140.06936775258944,1.0
1788424182476,SOL,bybit,1788424182478,1788424182475,1788424182471,1788424182475,1788424182472,140.09822457135348,1.0,140.1122245713535,1.0,140.04570038942856,1.0,140.05970038942857,1.0
1788424186638,SOL,okx,1788424186640,1788424186637,1788424186633,1788424186637,1788424186634,140.11265770208763,1.0,140.12665770208764,1.0,140.05944041230484,1.0,140.07344041230485,1.0
1788424189746,SOL,okx,1788424189748,1788424189745,1788424189741,1788424189745,1788424189742,140.08061460024845,1.0,140.09461460024846,1.0,140.0400620323607,1.0,140.05406203236072,1.0
1788424193213,SOL,okx,1788424193215,1788424193212,1788424193208,1788424193212,1788424193209,140.10954079845575,1.0,140.12354079845576,1.0,140.05476028571488,1.0,140.0687602857149,1.0
1788424195224,SOL,bybit,1788424195226,1788424195223,1788424195219,1788424195223,1788424195220,140.0941088744835,1.0,140.10810887448352,1.0,140.05214755858003,1.0,140.06614755858004,1.0
1788424199076,SOL,bybit,1788424199078,1788424199075,1788424199071,1788424199075,1788424199072,140.11662697175674,1.0,140.13062697175675,1.0,140.05472523018358,1.0,140.0687252301836,1.0
1788424203566,SOL,okx,1788424203568,1788424203565,1788424203561,1788424203565,1788424203562,140.11416556440824,1.0,140.12816556440825,1.0,140.06165797333546,1.0,140.07565797333547,1.0
1788424207557,SOL,okx,1788424207559,1788424207556,1788424207552,1788424207556,1788424207553,140.1095446954917,1.0,140.12354469549172,1.0,140.05879228158386,1.0,140.07279228158387,1.0
1788424210020,SOL,okx,1788424210022,1788424210019,1788424210015,1788424210019,1788424210016,140.0830703085904,1.0,140.09707030859042,1.0,140.04031600184194,1.0,140.05431600184195,1.0
1788424213621,SOL,okx,1788424213623,1788424213620,1788424213616,1788424213620,1788424213617,140.08390783466115,1.0,140.09790783466116,1.0,140.03640405978766,1.0,140.05040405978767,1.0
1788424216423,SOL,okx,1788424216425,1788424216422,1788424216418,1788424216422,1788424216419,140.07988432231485,1.0,140.09388432231486,1.0,140.0538538475339,1.0,140.0678538475339,1.0
1788424221317,SOL,okx,1788424221319,1788424221316,1788424221312,1788424221316,1788424221313,140.07585399058124,1.0,140.08985399058125,1.0,140.0408633182146,1.0,140.05486331821461,1.0
1788424225957,SOL,okx,1788424225959,1788424225956,1788424225952,1788424225956,1788424225953,140.09873500562762,1.0,140.11273500562763,1.0,140.04770951733843,1.0,140.06170951733844,1.0
1788424228515,SOL,bybit,1788424228517,1788424228514,1788424228510,1788424228514,1788424228511,140.07629346433313,1.0,140.09029346433314,1.0,140.05357398952862,1.0,140.06757398952863,1.0
1788423691027,XRP,bybit,1788423691029,1788423691026,1788423691022,1788423691026,1788423691023,0.5497944349971202,1.0,0.5498494349971201,1.0,0.5499609530553601,1.0,0.55001595305536,1.0
1788423692045,XRP,okx,1788423692047,1788423692044,1788423692040,1788423692044,1788423692041,0.5498437696726948,1.0,0.5498987696726947,1.0,0.5499822609916332,1.0,0.5500372609916331,1.0
1788423694200,XRP,okx,1788423694202,1788423694199,1788423694195,1788423694199,1788423694196,0.5497711001110146,1.0,0.5498261001110145,1.0,0.5499160256195725,1.0,0.5499710256195725,1.0
1788423695848,XRP,bybit,1788423695850,1788423695847,1788423695843,1788423695847,1788423695844,0.549752822951138,1.0,0.549807822951138,1.0,0.549936161675999,1.0,0.5499911616759989,1.0
1788423697651,XRP,bybit,1788423697653,1788423697650,1788423697646,1788423697650,1788423697647,0.5498988501493374,1.0,0.5499538501493373,1.0,0.5499992448241572,1.0,0.5500542448241571,1.0
1788423699473,XRP,bybit,1788423699475,1788423699472,1788423699468,1788423699472,1788423699469,0.5498808482320221,1.0,0.549935848232022,1.0,0.5499624638066896,1.0,0.5500174638066895,1.0
1788423701483,XRP,okx,1788423701485,1788423701482,1788423701478,1788423701482,1788423701479,0.5498599874206589,1.0,0.5499149874206588,1.0,0.5499961138414204,1.0,0.5500511138414204,1.0
1788423702331,XRP,okx,1788423702333,1788423702330,1788423702326,1788423702330,1788423702327,0.5499535722598742,1.0,0.5500085722598741,1.0,0.5499957021055754,1.0,0.5500507021055753,1.0
1788423703956,XRP,bybit,1788423703958,1788423703955,1788423703951,1788423703955,1788423703952,0.5499523944387985,1.0,0.5500073944387984,1.0,0.550018341000579,1.0,0.5500733410005789,1.0
1788423705007,XRP,bybit,1788423705009,1788423705006,1788423705002,1788423705006,1788423705003,0.5499312093515196,1.0,0.5499862093515195,1.0,0.5500050744140719,1.0,0.5500600744140718,1.0
1788423706489,XRP,okx,1788423706491,1788423706488,1788423706484,1788423706488,1788423706485,0.5499289076158532,1.0,0.5499839076158531,1.0,0.5500118010427854,1.0,0.5500668010427853,1.0
1788423708866,XRP,okx,1788423708868,1788423708865,1788423708861,1788423708865,1788423708862,0.5499254354607446,1.0,0.5499804354607445,1.0,0.5499825032637279,1.0,0.5500375032637278,1.0
1788423710597,XRP,bybit,1788423710599,1788423710596,1788423710592,1788423710596,1788423710593,0.5498109684838931,1.0,0.549865968483893,1.0,0.5499676383147286,1.0,0.5500226383147285,1.0
1788423711516,XRP,bybit,1788423711518,1788423711515,1788423711511,1788423711515,1788423711512,0.5498969033157903,1.0,0.5499519033157902,1.0,0.5499673957222742,1.0,0.5500223957222741,1.0
1788423713238,XRP,okx,1788423713240,1788423713237,1788423713233,1788423713237,1788423713234,0.5499054127700277,1.0,0.5499604127700276,1.0,0.5499753519820758,1.0,0.5500303519820757,1.0
1788423714258,XRP,okx,1788423714260,1788423714257,1788423714253,1788423714257,1788423714254,0.5497848309065554,1.0,0.5498398309065553,1.0,0.5499584487451844,1.0,0.5500134487451843,1.0
1788423716340,XRP,bybit,1788423716342,1788423716339,1788423716335,1788423716339,1788423716336,0.5498966730911201,1.0,0.54995167309112,1.0,0.5499759861498513,1.0,0.5500309861498512,1.0
1788423718752,XRP,bybit,1788423718754,1788423718751,1788423718747,1788423718751,1788423718748,0.5498861113275327,1.0,0.5499411113275327,1.0,0.5499902570885208,1.0,0.5500452570885207,1.0
1788423721217,XRP,bybit,1788423721219,1788423721216,1788423721212,1788423721216,1788423721213,0.5499442683576861,1.0,0.549999268357686,1.0,0.5500015213133157,1.0,0.5500565213133156,1.0
1788423723074,XRP,okx,1788423723076,1788423723073,1788423723069,1788423723073,1788423723070,0.5498767963848997,1.0,0.5499317963848996,1.0,0.5499866369659833,1.0,0.5500416369659832,1.0
1788423725350,XRP,bybit,1788423725352,1788423725349,1788423725345,1788423725349,1788423725346,0.5498547642799169,1.0,0.5499097642799168,1.0,0.5499447140455926,1.0,0.5499997140455926,1.0
1788423726777,XRP,bybit,1788423726779,1788423726776,1788423726772,1788423726776,1788423726773,0.5499234530031799,1.0,0.5499784530031798,1.0,0.5499966668803147,1.0,0.5500516668803146,1.0
1788423727824,XRP,bybit,1788423727826,1788423727823,1788423727819,1788423727823,1788423727820,0.5498793815082329,1.0,0.5499343815082328,1.0,0.5500056138646778,1.0,0.5500606138646777,1.0
1788423729493,XRP,bybit,1788423729495,1788423729492,1788423729488,1788423729492,1788423729489,0.5499701146344358,1.0,0.5500251146344357,1.0,0.550030454249616,1.0,0.550085454249616,1.0
1788423731047,XRP,okx,1788423731049,1788423731046,1788423731042,1788423731046,1788423731043,0.5499272821652118,1.0,0.5499822821652117,1.0,0.5500176522905307,1.0,0.5500726522905306,1.0
1788423732973,XRP,okx,1788423732975,1788423732972,1788423732968,1788423732972,1788423732969,0.5499225323973919,1.0,0.5499775323973918,1.0,0.5499854623533023,1.0,0.5500404623533022,1.0
1788423735463,XRP,bybit,1788423735465,1788423735462,1788423735458,1788423735462,1788423735459,0.5498789805973713,1.0,0.5499339805973712,1.0,0.5499850635201647,1.0,0.5500400635201647,1.0
1788423736731,XRP,bybit,1788423736733,1788423736730,1788423736726,1788423736730,1788423736727,0.5500265965666304,1.0,0.5500815965666304,1.0,0.550061178199567,1.0,0.5501161781995669,1.0
1788423738985,XRP,bybit,1788423738987,1788423738984,1788423738980,1788423738984,1788423738981,0.5499739126593441,1.0,0.5500289126593441,1.0,0.5500283271422469,1.0,0.5500833271422468,1.0
1788423740019,XRP,okx,1788423740021,1788423740018,1788423740014,1788423740018,1788423740015,0.5499703569242373,1.0,0.5500253569242373,1.0,0.5500586325825939,1.0,0.5501136325825938,1.0
1788423741410,XRP,okx,1788423741412,1788423741409,1788423741405,1788423741409,1788423741406,0.5500160200910302,1.0,0.5500710200910301,1.0,0.5500678338187452,1.0,0.5501228338187452,1.0
1788423743549,XRP,bybit,1788423743551,1788423743548,1788423743544,1788423743548,1788423743545,0.5499653941992113,1.0,0.5500203941992112,1.0,0.5499883223762575,1.0,0.5500433223762574,1.0
1788423744769,XRP,okx,1788423744771,1788423744768,1788423744764,1788423744768,1788423744765,0.550023463647237,1.0,0.5500784636472369,1.0,0.5500222952541977,1.0,0.5500772952541976,1.0
1788423746708,XRP,okx,1788423746710,1788423746707,1788423746703,1788423746707,1788423746704,0.5498799340200446,1.0,0.5499349340200446,1.0,0.5500256982910409,1.0,0.5500806982910408,1.0
1788423748288,XRP,bybit,1788423748290,1788423748287,1788423748283,1788423748287,1788423748284,0.549992885827433,1.0,0.5500478858274329,1.0,0.5500296262329194,1.0,0.5500846262329193,1.0
1788423749959,XRP,okx,1788423749961,1788423749958,1788423749954,1788423749958,1788423749955,0.5499761730635583,1.0,0.5500311730635582,1.0,0.550030341700484,1.0,0.550085341700484,1.0
1788423752359,XRP,bybit,1788423752361,1788423752358,1788423752354,1788423752358,1788423752355,0.5499453433304788,1.0,0.5500003433304788,1.0,0.550022720650365,1.0,0.5500777206503649,1.0
1788423754547,XRP,bybit,1788423754549,1788423754546,1788423754542,1788423754546,1788423754543,0.5499072356877847,1.0,0.5499622356877846,1.0,0.5500235226188914,1.0,0.5500785226188913,1.0
1788423756773,XRP,okx,1788423756775,1788423756772,1788423756768,1788423756772,1788423756769,0.5499636167715096,1.0,0.5500186167715095,1.0,0.5499790099743466,1.0,0.5500340099743465,1.0
1788423758506,XRP,bybit,1788423758508,1788423758505,1788423758501,1788423758505,1788423758502,0.5498917712824322,1.0,0.5499467712824321,1.0,0.550017019855182,1.0,0.550072019855182,1.0
1788424002461,XRP,okx,1788424002463,1788424002460,1788424002456,1788424002460,1788424002457,0.550165017397385,1.0,0.5502200173973849,1.0,0.5501414589355145,1.0,0.5501964589355144,1.0
1788424006413,XRP,okx,1788424006415,1788424006412,1788424006408,1788424006412,1788424006409,0.5502224391624242,1.0,0.5502774391624241,1.0,0.5501669411983108,1.0,0.5502219411983107,1.0
1788424008250,XRP,okx,1788424008252,1788424008249,1788424008245,1788424008249,1788424008246,0.5500788605580407,1.0,0.5501338605580406,1.0,0.5501512814812605,1.0,0.5502062814812604,1.0
1788424010261,XRP,bybit,1788424010263,1788424010260,1788424010256,1788424010260,1788424010257,0.5501662989414867,1.0,0.5502212989414866,1.0,0.5501818682985893,1.0,0.5502368682985892,1.0
1788424012531,XRP,bybit,1788424012533,1788424012530,1788424012526,1788424012530,1788424012527,0.5501280162361528,1.0,0.5501830162361527,1.0,0.5501881858744492,1.0,0.5502431858744491,1.0
1788424015415,XRP,okx,1788424015417,1788424015414,1788424015410,1788424015414,1788424015411,0.5501829640798093,1.0,0.5502379640798092,1.0,0.550175153703867,1.0,0.550230153703867,1.0
1788424018974,XRP,okx,1788424018976,1788424018973,1788424018969,1788424018973,1788424018970,0.5502397782087184,1.0,0.5502947782087183,1.0,0.5501765727534546,1.0,0.5502315727534545,1.0
1788424021683,XRP,okx,1788424021685,1788424021682,1788424021678,1788424021682,1788424021679,0.55025653271126,1.0,0.5503115327112599,1.0,0.5501713393941051,1.0,0.550226339394105,1.0
1788424025642,XRP,okx,1788424025644,1788424025641,1788424025637,1788424025641,1788424025638,0.5500749621491293,1.0,0.5501299621491292,1.0,0.5501577630383772,1.0,0.5502127630383771,1.0
1788424028025,XRP,okx,1788424028027,1788424028024,1788424028020,1788424028024,1788424028021,0.5501360485770511,1.0,0.550191048577051,1.0,0.5501663160776584,1.0,0.5502213160776583,1.0
1788424031845,XRP,bybit,1788424031847,1788424031844,1788424031840,1788424031844,1788424031841,0.5501836943964454,1.0,0.5502386943964453,1.0,0.5501584055808482,1.0,0.5502134055808481,1.0
1788424034823,XRP,bybit,1788424034825,1788424034822,1788424034818,1788424034822,1788424034819,0.5502468651009431,1.0,0.550301865100943,1.0,0.5501836154296468,1.0,0.5502386154296467,1.0
1788424038124,XRP,bybit,1788424038126,1788424038123,1788424038119,1788424038123,1788424038120,0.5501859013847864,1.0,0.5502409013847863,1.0,0.5501743194468232,1.0,0.5502293194468231,1.0
1788424040212,XRP,okx,1788424040214,1788424040211,1788424040207,1788424040211,1788424040208,0.5501502719632619,1.0,0.5502052719632619,1.0,0.550190527643556,1.0,0.5502455276435559,1.0
1788424043192,XRP,bybit,1788424043194,1788424043191,1788424043187,1788424043191,1788424043188,0.5501438542732334,1.0,0.5501988542732333,1.0,0.5501388590943169,1.0,0.5501938590943168,1.0
1788424046697,XRP,okx,1788424046699,1788424046696,1788424046692,1788424046696,1788424046693,0.5501911501933248,1.0,0.5502461501933247,1.0,0.5502007905951314,1.0,0.5502557905951313,1.0
1788424050413,XRP,okx,1788424050415,1788424050412,1788424050408,1788424050412,1788424050409,0.5501376182740951,1.0,0.550192618274095,1.0,0.5501564108654369,1.0,0.5502114108654368,1.0
1788424054081,XRP,bybit,1788424054083,1788424054080,1788424054076,1788424054080,1788424054077,0.5501150571536174,1.0,0.5501700571536173,1.0,0.550158156736453,1.0,0.5502131567364529,1.0
1788424057999,XRP,okx,1788424058001,1788424057998,1788424057994,1788424057998,1788424057995,0.5501791324571179,1.0,0.5502341324571178,1.0,0.550173916042155,1.0,0.550228916042155,1.0
1788424059820,XRP,bybit,1788424059822,1788424059819,1788424059815,1788424059819,1788424059816,0.5501655189225189,1.0,0.5502205189225188,1.0,0.5501643036736202,1.0,0.5502193036736202,1.0
1788424063266,XRP,bybit,1788424063268,1788424063265,1788424063261,1788424063265,1788424063262,0.5501712186044958,1.0,0.5502262186044957,1.0,0.5501886352826817,1.0,0.5502436352826816,1.0
1788424065933,XRP,bybit,1788424065935,1788424065932,1788424065928,1788424065932,1788424065929,0.5501415962057914,1.0,0.5501965962057913,1.0,0.5501654653384358,1.0,0.5502204653384357,1.0
