base_coin,okx_symbol,bybit_symbol,okx_tick_size,okx_lot_size,okx_min_size,bybit_tick_size,bybit_qty_step,bybit_min_order_qty,bybit_min_notional_value,take
BAND,BAND-USDT-SWAP,BANDUSDT,0.0001,1.0,1.0,0.0001,0.1,0.1,5,yes
BARD,BARD-USDT-SWAP,BARDUSDT,0.0001,1.0,1.0,0.0001,0.1,0.1,5,yes
BASED,BASED-USDT-SWAP,BASEDUSDT,1e-05,1.0,1.0,1e-05,1.0,1.0,5,yes
BAT,BAT-USDT-SWAP,BATUSDT,1e-05,1.0,1.0,1e-05,0.1,0.1,5,yes
BCH,BCH-USDT-SWAP,BCHUSDT,0.1,0.1,0.1,0.1,0.01,0.01,5,no
BE,BE-USDT-SWAP,BEUSDT,0.01,0.01,0.01,0.01,0.01,0.01,5,no
BEAT,BEAT-USDT-SWAP,BEATUSDT,0.0001,0.1,0.1,0.0001,1.0,1.0,5,yes
BERA,BERA-USDT-SWAP,BERAUSDT,0.0001,1.0,1.0,0.0001,1.0,1.0,5,yes
BICO,BICO-USDT-SWAP,BICOUSDT,1e-05,1.0,1.0,1e-05,0.1,0.1,5,yes
BIGTIME,BIGTIME-USDT-SWAP,BIGTIMEUSDT,1e-06,1.0,1.0,1e-06,1.0,1.0,5,yes
BILL,BILL-USDT-SWAP,BILLUSDT,1e-05,1.0,1.0,1e-05,10.0,10.0,5,no
BIO,BIO-USDT-SWAP,BIOUSDT,1e-05,1.0,1.0,1e-05,1.0,1.0,5,yes
BLEND,BLEND-USDT-SWAP,BLENDUSDT,1e-05,1.0,1.0,1e-05,1.0,1.0,5,yes
BLUR,BLUR-USDT-SWAP,BLURUSDT,1e-05,1.0,1.0,1e-06,1.0,1.0,5,yes
BMNR,BMNR-USDT-SWAP,BMNRUSDT,0.01,0.1,0.1,0.001,0.1,0.1,5,no
BNB,BNB-USDT-SWAP,BNBUSDT,0.1,1.0,1.0,0.1,0.01,0.01,5,no
BOME,BOME-USDT-SWAP,BOMEUSDT,1e-07,1.0,1.0,1e-07,100.0,100.0,5,yes
BOT,BOT-USDT-SWAP,BOTUSDT,0.01,0.1,0.1,0.01,0.01,0.01,5,no
BRETT,BRETT-USDT-SWAP,BRETTUSDT,1e-06,1.0,1.0,1e-06,10.0,10.0,5,yes
BREV,BREV-USDT-SWAP,BREVUSDT,1e-05,1.0,1.0,1e-05,1.0,1.0,5,yes
BSB,BSB-USDT-SWAP,BSBUSDT,0.0001,1.0,1.0,0.0001,1.0,1.0,5,yes
BSP,BSP-USDT-SWAP,BSPUSDT,0.01,0.1,0.1,0.01,0.01,0.01,5,no
BTC,BTC-USDT-SWAP,BTCUSDT,0.1,0.01,0.01,0.1,0.001,0.001,5,no
BZ,BZ-USDT-SWAP,BZUSDT,0.01,1.0,1.0,0.01,0.01,0.01,5,no
CAP,CAP-USDT-SWAP,CAPUSDT,1e-05,1.0,1.0,1e-05,10.0,10.0,5,yes
CBRS,CBRS-USDT-SWAP,CBRSUSDT,0.01,0.01,0.01,0.01,0.01,0.01,5,no
CC,CC-USDT-SWAP,CCUSDT,1e-05,1.0,1.0,1e-05,1.0,1.0,5,no
CELO,CELO-USDT-SWAP,CELOUSDT,1e-05,1.0,1.0,1e-05,0.1,0.1,5,yes
CFX,CFX-USDT-SWAP,CFXUSDT,1e-05,1.0,1.0,1e-05,1.0,1.0,5,yes
CHIP,CHIP-USDT-SWAP,CHIPUSDT,1e-05,1.0,1.0,1e-05,10.0,10.0,5,yes
CHZ,CHZ-USDT-SWAP,CHZUSDT,1e-05,1.0,1.0,1e-05,1.0,1.0,5,yes
CIEN,CIEN-USDT-SWAP,CIENUSDT,0.01,0.01,0.01,0.01,0.01,0.01,5,no
CL,CL-USDT-SWAP,CLUSDT,0.01,1.0,1.0,0.01,0.01,0.01,5,no
COAI,COAI-USDT-SWAP,COAIUSDT,0.0001,1.0,1.0,0.0001,1.0,1.0,5,yes
COHR,COHR-USDT-SWAP,COHRUSDT,0.01,0.01,0.01,0.01,0.01,0.01,5,no
COIN,COIN-USDT-SWAP,COINUSDT,0.01,0.01,0.01,0.01,0.01,0.01,5,no
COMP,COMP-USDT-SWAP,COMPUSDT,0.01,1.0,1.0,0.001,0.01,0.01,5,yes
CORE,CORE-USDT-SWAP,COREUSDT,1e-05,1.0,1.0,1e-05,0.1,0.1,5,yes
COST,COST-USDT-SWAP,COSTUSDT,0.01,0.001,0.001,0.01,0.01,0.01,5,no
CRCL,CRCL-USDT-SWAP,CRCLUSDT,0.01,0.1,0.1,0.01,0.01,0.01,5,no
CRDO,CRDO-USDT-SWAP,CRDOUSDT,0.01,0.01,0.01,0.01,0.01,0.01,5,no
CRO,CRO-USDT-SWAP,CROUSDT,1e-05,1.0,1.0,1e-05,1.0,1.0,5,no
CRV,CRV-USDT-SWAP,CRVUSDT,0.0001,1.0,1.0,0.0001,0.1,0.1,5,yes
CRWD,CRWD-USDT-SWAP,CRWDUSDT,0.01,0.01,0.01,0.01,0.01,0.01,5,no
CRWV,CRWV-USDT-SWAP,CRWVUSDT,0.01,0.01,0.01,0.01,0.01,0.01,5,no
CSCO,CSCO-USDT-SWAP,CSCOUSDT,0.01,0.01,0.01,0.01,0.01,0.01,5,no
CVX,CVX-USDT-SWAP,CVXUSDT,0.001,1.0,1.0,0.0001,0.01,0.01,5,no
DASH,DASH-USDT-SWAP,DASHUSDT,0.01,1.0,1.0,0.01,0.01,0.01,5,yes
DATA,DATA-USDT-SWAP,DATAUSDT,0.0001,1.0,1.0,0.0001,1.0,1.0,5,no
DELL,DELL-USDT-SWAP,DELLUSDT,0.01,0.01,0.01,0.01,0.01,0.01,5,no
DOGE,DOGE-USDT-SWAP,DOGEUSDT,1e-05,0.01,0.01,1e-05,1.0,1.0,5,no
DOOD,DOOD-USDT-SWAP,DOODUSDT,1e-06,1.0,1.0,1e-06,10.0,10.0,5,yes
DOT,DOT-USDT-SWAP,DOTUSDT,0.0001,1.0,1.0,0.0001,0.1,0.1,5,no
DRAM,DRAM-USDT-SWAP,DRAMUSDT,0.01,0.1,0.1,0.01,0.1,0.1,5,no
DYDX,DYDX-USDT-SWAP,DYDXUSDT,1e-05,1.0,1.0,1e-05,0.1,0.1,5,yes
EDEN,EDEN-USDT-SWAP,EDENUSDT,1e-05,1.0,1.0,1e-05,1.0,1.0,5,yes
EDGE,EDGE-USDT-SWAP,EDGEUSDT,0.0001,1.0,1.0,0.0001,1.0,1.0,5,yes
EGLD,EGLD-USDT-SWAP,EGLDUSDT,0.001,1.0,1.0,0.001,0.01,0.01,5,yes
EIGEN,EIGEN-USDT-SWAP,EIGENUSDT,0.0001,1.0,1.0,1e-05,1.0,1.0,5,yes
ENA,ENA-USDT-SWAP,ENAUSDT,1e-05,1.0,1.0,1e-05,1.0,1.0,5,no
ENJ,ENJ-USDT-SWAP,ENJUSDT,1e-05,1.0,1.0,1e-06,0.1,0.1,5,yes
ENS,ENS-USDT-SWAP,ENSUSDT,0.001,1.0,1.0,0.001,0.1,0.1,5,yes
ENSO,ENSO-USDT-SWAP,ENSOUSDT,0.0001,1.0,1.0,0.0001,0.1,0.1,5,yes
ESP,ESP-USDT-SWAP,ESPUSDT,1e-05,1.0,1.0,1e-05,10.0,10.0,5,yes
ETC,ETC-USDT-SWAP,ETCUSDT,0.001,0.01,0.01,0.001,0.1,0.1,5,no
ETH,ETH-USDT-SWAP,ETHUSDT,0.01,0.01,0.01,0.01,0.01,0.01,5,no
ETHFI,ETHFI-USDT-SWAP,ETHFIUSDT,0.0001,1.0,1.0,0.0001,0.1,0.1,5,yes
EWJ,EWJ-USDT-SWAP,EWJUSDT,0.01,0.01,0.01,0.01,0.01,0.01,5,no
EWT,EWT-USDT-SWAP,EWTUSDT,0.01,0.01,0.01,0.01,0.01,0.01,5,yes
EWY,EWY-USDT-SWAP,EWYUSDT,0.01,0.01,0.01,0.01,0.01,0.01,5,no
F,F-USDT-SWAP,FUSDT,1e-06,1.0,1.0,1e-06,1.0,1.0,5,no
FARTCOIN,FARTCOIN-USDT-SWAP,FARTCOINUSDT,0.0001,1.0,1.0,1e-05,1.0,1.0,5,yes
FIL,FIL-USDT-SWAP,FILUSDT,0.0001,1.0,1.0,0.0001,0.1,0.1,5,no
FLNC,FLNC-USDT-SWAP,FLNCUSDT,0.01,0.1,0.1,0.01,0.1,0.1,5,no
FLOW,FLOW-USDT-SWAP,FLOWUSDT,1e-05,1.0,1.0,1e-05,0.1,0.1,5,yes
FOGO,FOGO-USDT-SWAP,FOGOUSDT,1e-06,1.0,1.0,1e-05,10.0,10.0,5,yes
GALA,GALA-USDT-SWAP,GALAUSDT,1e-06,1.0,1.0,1e-06,1.0,1.0,5,yes
GAS,GAS-USDT-SWAP,GASUSDT,0.0001,1.0,1.0,0.0001,0.1,0.1,5,yes
GEV,GEV-USDT-SWAP,GEVUSDT,0.01,0.001,0.001,0.01,0.001,0.001,5,no
GIGGLE,GIGGLE-USDT-SWAP,GIGGLEUSDT,0.01,1.0,1.0,0.01,0.001,0.001,5,yes
GLM,GLM-USDT-SWAP,GLMUSDT,1e-05,1.0,1.0,1e-05,1.0,1.0,5,yes
GLW,GLW-USDT-SWAP,GLWUSDT,0.01,0.01,0.01,0.01,0.01,0.01,5,no
GMT,GMT-USDT-SWAP,GMTUSDT,1e-06,1.0,1.0,1e-06,1.0,1.0,5,yes
GMX,GMX-USDT-SWAP,GMXUSDT,0.001,1.0,1.0,0.001,0.01,0.01,5,yes
GOOGL,GOOGL-USDT-SWAP,GOOGLUSDT,0.01,0.01,0.01,0.01,0.01,0.01,5,no
GPS,GPS-USDT-SWAP,GPSUSDT,1e-06,1.0,1.0,1e-06,1.0,1.0,5,yes
GRAM,GRAM-USDT-SWAP,GRAMUSDT,0.001,1.0,1.0,0.0001,0.1,0.1,5,no
GRASS,GRASS-USDT-SWAP,GRASSUSDT,0.0001,1.0,1.0,1e-05,1.0,1.0,5,yes
GRT,GRT-USDT-SWAP,GRTUSDT,1e-05,1.0,1.0,1e-05,0.1,0.1,5,yes
H,H-USDT-SWAP,HUSDT,1e-05,0.1,0.1,1e-05,10.0,10.0,5,yes
HBAR,HBAR-USDT-SWAP,HBARUSDT,1e-05,0.1,0.1,1e-05,1.0,1.0,5,no
HIMS,HIMS-USDT-SWAP,HIMSUSDT,0.01,0.1,0.1,0.01,0.01,0.01,5,no
HMSTR,HMSTR-USDT-SWAP,HMSTRUSDT,1e-07,1.0,1.0,1e-07,10.0,10.0,5,yes
HOME,HOME-USDT-SWAP,HOMEUSDT,1e-05,1.0,1.0,1e-06,10.0,10.0,5,yes
HOOD,HOOD-USDT-SWAP,HOODUSDT,0.01,0.1,0.1,0.01,0.01,0.01,5,no
HPE,HPE-USDT-SWAP,HPEUSDT,0.01,0.1,0.1,0.01,0.01,0.01,5,no
HUMA,HUMA-USDT-SWAP,HUMAUSDT,1e-05,1.0,1.0,1e-06,1.0,1.0,5,yes
HYPE,HYPE-USDT-SWAP,HYPEUSDT,0.001,1.0,1.0,0.001,0.01,0.01,5,no
HYUNDAI,HYUNDAI-USDT-SWAP,HYUNDAIUSDT,0.01,0.01,0.01,0.01,0.01,0.01,5,no
IBM,IBM-USDT-SWAP,IBMUSDT,0.01,0.01,0.01,0.01,0.01,0.01,5,no
ICP,ICP-USDT-SWAP,ICPUSDT,0.001,1.0,1.0,0.001,0.1,0.1,5,no
ICX,ICX-USDT-SWAP,ICXUSDT,1e-05,1.0,1.0,1e-05,1.0,1.0,5,yes
IMX,IMX-USDT-SWAP,IMXUSDT,0.0001,1.0,1.0,1e-05,0.1,0.1,5,yes
INIT,INIT-USDT-SWAP,INITUSDT,1e-05,1.0,1.0,1e-05,1.0,1.0,5,yes
INJ,INJ-USDT-SWAP,INJUSDT,0.001,1.0,1.0,0.001,0.1,0.1,5,yes
INTC,INTC-USDT-SWAP,INTCUSDT,0.01,0.1,0.1,0.01,0.01,0.01,5,no
IOST,IOST-USDT-SWAP,IOSTUSDT,1e-07,1.0,1.0,1e-07,1.0,1.0,5,yes
IOTA,IOTA-USDT-SWAP,IOTAUSDT,1e-05,1.0,1.0,1e-05,0.1,0.1,5,yes
IREN,IREN-USDT-SWAP,IRENUSDT,0.01,0.1,0.1,0.01,0.1,0.1,5,no
IRYS,IRYS-USDT-SWAP,IRYSUSDT,1e-05,1.0,1.0,1e-06,10.0,10.0,5,yes
IWM,IWM-USDT-SWAP,IWMUSDT,0.01,0.01,0.01,0.01,0.01,0.01,5,no
JELLYJELLY,JELLYJELLY-USDT-SWAP,JELLYJELLYUSDT,1e-05,1.0,1.0,1e-05,1.0,1.0,5,yes
JTO,JTO-USDT-SWAP,JTOUSDT,0.0001,1.0,1.0,0.0001,0.1,0.1,5,yes
JUP,JUP-USDT-SWAP,JUPUSDT,0.0001,1.0,1.0,1e-05,1.0,1.0,5,no
KAITO,KAITO-USDT-SWAP,KAITOUSDT,0.0001,1.0,1.0,0.0001,1.0,1.0,5,yes
KAT,KAT-USDT-SWAP,KATUSDT,1e-06,1.0,1.0,1e-06,10.0,10.0,5,yes
KGEN,KGEN-USDT-SWAP,KGENUSDT,0.0001,1.0,1.0,1e-05,1.0,1.0,5,yes
KITE,KITE-USDT-SWAP,KITEUSDT,1e-05,1.0,1.0,1e-05,1.0,1.0,5,yes
KLAC,KLAC-USDT-SWAP,KLACUSDT,0.01,0.01,0.01,0.01,0.01,0.01,5,no
KMNO,KMNO-USDT-SWAP,KMNOUSDT,1e-05,1.0,1.0,1e-05,10.0,10.0,5,yes
KORU,KORU-USDT-SWAP,KORUUSDT,0.01,0.01,0.01,0.01,0.01,0.01,5,no
KSM,KSM-USDT-SWAP,KSMUSDT,0.001,1.0,1.0,0.001,0.01,0.01,5,yes
LA,LA-USDT-SWAP,LAUSDT,1e-05,1.0,1.0,1e-05,0.1,0.1,5,yes
LAB,LAB-USDT-SWAP,LABUSDT,0.0001,0.1,0.1,0.001,1.0,1.0,5,yes
LDO,LDO-USDT-SWAP,LDOUSDT,0.0001,1.0,1.0,0.0001,0.1,0.1,5,yes
LIGHT,LIGHT-USDT-SWAP,LIGHTUSDT,0.0001,1.0,1.0,0.0001,1.0,1.0,5,yes
LINEA,LINEA-USDT-SWAP,LINEAUSDT,1e-06,1.0,1.0,1e-06,10.0,10.0,5,yes
LINK,LINK-USDT-SWAP,LINKUSDT,0.001,0.1,0.1,0.001,0.1,0.1,5,no
LIT,LIT-USDT-SWAP,LITUSDT,0.0001,1.0,1.0,0.0001,0.1,0.1,5,no
LITE,LITE-USDT-SWAP,LITEUSDT,0.01,0.01,0.01,0.01,0.01,0.01,5,no
LLY,LLY-USDT-SWAP,LLYUSDT,0.01,0.01,0.01,0.01,0.01,0.01,5,no
LPT,LPT-USDT-SWAP,LPTUSDT,0.001,1.0,1.0,0.001,0.1,0.1,5,yes
LQTY,LQTY-USDT-SWAP,LQTYUSDT,0.0001,1.0,1.0,0.0001,0.1,0.1,5,yes
LRC,LRC-USDT-SWAP,LRCUSDT,1e-05,1.0,1.0,1e-05,0.1,0.1,5,no
LRCX,LRCX-USDT-SWAP,LRCXUSDT,0.01,0.01,0.01,0.01,0.01,0.01,5,no
LTC,LTC-USDT-SWAP,LTCUSDT,0.01,0.1,0.1,0.01,0.1,0.1,5,no
MAGIC,MAGIC-USDT-SWAP,MAGICUSDT,1e-05,1.0,1.0,1e-05,1.0,1.0,5,yes
MANA,MANA-USDT-SWAP,MANAUSDT,1e-05,1.0,1.0,1e-05,0.1,0.1,5,yes
MASK,MASK-USDT-SWAP,MASKUSDT,0.0001,1.0,1.0,0.0001,0.1,0.1,5,yes
ME,ME-USDT-SWAP,MEUSDT,1e-05,1.0,1.0,1e-05,1.0,1.0,5,yes
MEGA,MEGA-USDT-SWAP,MEGAUSDT,1e-05,1.0,1.0,1e-05,1.0,1.0,5,yes
MEME,MEME-USDT-SWAP,MEMEUSDT,1e-07,1.0,1.0,1e-07,10.0,10.0,5,yes
MERL,MERL-USDT-SWAP,MERLUSDT,1e-05,1.0,1.0,1e-05,0.1,0.1,5,yes
MET,MET-USDT-SWAP,METUSDT,0.0001,1.0,1.0,1e-05,0.1,0.1,5,yes
META,META-USDT-SWAP,METAUSDT,0.01,0.01,0.01,0.01,0.01,0.01,5,no
METIS,METIS-USDT-SWAP,METISUSDT,0.001,1.0,1.0,0.001,0.01,0.01,5,yes
MEW,MEW-USDT-SWAP,MEWUSDT,1e-07,1.0,1.0,1e-07,100.0,100.0,5,yes
MINA,MINA-USDT-SWAP,MINAUSDT,1e-05,1.0,1.0,1e-05,0.1,0.1,5,yes
MMT,MMT-USDT-SWAP,MMTUSDT,0.0001,1.0,1.0,1e-05,1.0,1.0,5,yes
MON,MON-USDT-SWAP,MONUSDT,1e-05,1.0,1.0,1e-06,1.0,1.0,5,yes
MOODENG,MOODENG-USDT-SWAP,MOODENGUSDT,1e-05,1.0,1.0,1e-05,1.0,1.0,5,yes
MORPHO,MORPHO-USDT-SWAP,MORPHOUSDT,0.0001,1.0,1.0,0.0001,1.0,1.0,5,no
MOVE,MOVE-USDT-SWAP,MOVEUSDT,1e-05,1.0,1.0,1e-05,1.0,1.0,5,yes
MRVL,MRVL-USDT-SWAP,MRVLUSDT,0.01,0.01,0.01,0.01,0.01,0.01,5,no
MSFT,MSFT-USDT-SWAP,MSFTUSDT,0.01,0.01,0.01,0.01,0.01,0.01,5,no
MSTR,MSTR-USDT-SWAP,MSTRUSDT,0.01,0.01,0.01,0.01,0.01,0.01,5,no
MU,MU-USDT-SWAP,MUUSDT,0.01,0.01,0.01,0.01,0.01,0.01,5,no
MUBARAK,MUBARAK-USDT-SWAP,MUBARAKUSDT,1e-06,1.0,1.0,1e-06,1.0,1.0,5,yes
MUU,MUU-USDT-SWAP,MUUUSDT,0.01,0.01,0.01,0.01,0.01,0.01,5,no
MVLL,MVLL-USDT-SWAP,MVLLUSDT,0.01,0.1,0.1,0.01,0.01,0.01,5,no
NBIS,NBIS-USDT-SWAP,NBISUSDT,0.01,0.01,0.01,0.01,0.01,0.01,5,no
NEAR,NEAR-USDT-SWAP,NEARUSDT,0.001,0.1,0.1,0.0001,0.1,0.1,5,no
NEO,NEO-USDT-SWAP,NEOUSDT,0.001,1.0,1.0,0.001,0.01,0.01,5,yes
NFLX,NFLX-USDT-SWAP,NFLXUSDT,0.01,0.01,0.01,0.01,0.01,0.01,5,no
NIGHT,NIGHT-USDT-SWAP,NIGHTUSDT,1e-06,1.0,1.0,1e-05,10.0,10.0,5,yes
NMR,NMR-USDT-SWAP,NMRUSDT,0.001,1.0,1.0,0.001,0.1,0.1,5,yes
NOT,NOT-USDT-SWAP,NOTUSDT,1e-07,1.0,1.0,1e-07,10.0,10.0,5,yes
NOW,NOW-USDT-SWAP,NOWUSDT,0.01,0.01,0.01,0.01,0.01,0.01,5,no
NVDA,NVDA-USDT-SWAP,NVDAUSDT,0.01,0.01,0.01,0.01,0.01,0.01,5,no
O,O-USDT-SWAP,OUSDT,0.0001,1.0,1.0,0.0001,1.0,1.0,5,no
OKB,OKB-USDT-SWAP,OKBUSDT,0.01,1.0,1.0,0.01,0.01,0.01,5,no
ONDO,ONDO-USDT-SWAP,ONDOUSDT,0.0001,1.0,1.0,0.0001,1.0,1.0,5,no
ONDS,ONDS-USDT-SWAP,ONDSUSDT,0.001,1.0,1.0,0.001,0.1,0.1,5,no
ONT,ONT-USDT-SWAP,ONTUSDT,1e-05,1.0,1.0,1e-05,1.0,1.0,5,yes
OP,OP-USDT-SWAP,OPUSDT,1e-05,1.0,1.0,1e-05,0.1,0.1,5,yes
OPG,OPG-USDT-SWAP,OPGUSDT,0.0001,1.0,1.0,0.0001,1.0,1.0,5,yes
OPN,OPN-USDT-SWAP,OPNUSDT,1e-05,1.0,1.0,1e-05,1.0,1.0,5,yes
ORCL,ORCL-USDT-SWAP,ORCLUSDT,0.01,0.01,0.01,0.01,0.01,0.01,5,no
ORDER,ORDER-USDT-SWAP,ORDERUSDT,1e-05,1.0,1.0,1e-05,1.0,1.0,5,yes
ORDI,ORDI-USDT-SWAP,ORDIUSDT,0.001,1.0,1.0,0.001,0.01,0.01,5,yes
PARTI,PARTI-USDT-SWAP,PARTIUSDT,1e-05,1.0,1.0,1e-05,1.0,1.0,5,yes
PENDLE,PENDLE-USDT-SWAP,PENDLEUSDT,0.001,1.0,1.0,0.0001,1.0,1.0,5,yes
PENGU,PENGU-USDT-SWAP,PENGUUSDT,1e-06,1.0,1.0,1e-06,10.0,10.0,5,yes
PEOPLE,PEOPLE-USDT-SWAP,PEOPLEUSDT,1e-06,1.0,1.0,1e-06,1.0,1.0,5,yes
PIEVERSE,PIEVERSE-USDT-SWAP,PIEVERSEUSDT,0.0001,1.0,1.0,0.0001,1.0,1.0,5,yes
PIPPIN,PIPPIN-USDT-SWAP,PIPPINUSDT,1e-05,1.0,1.0,1e-05,1.0,1.0,5,yes
PLTR,PLTR-USDT-SWAP,PLTRUSDT,0.01,0.01,0.01,0.01,0.01,0.01,5,no
PLUME,PLUME-USDT-SWAP,PLUMEUSDT,1e-06,1.0,1.0,1e-06,1.0,1.0,5,yes
PNUT,PNUT-USDT-SWAP,PNUTUSDT,1e-05,1.0,1.0,1e-05,1.0,1.0,5,yes
POET,POET-USDT-SWAP,POETUSDT,0.001,0.1,0.1,0.001,0.1,0.1,5,no
POL,POL-USDT-SWAP,POLUSDT,1e-05,1.0,1.0,1e-05,1.0,1.0,5,no
POPCAT,POPCAT-USDT-SWAP,POPCATUSDT,1e-05,1.0,1.0,1e-05,1.0,1.0,5,yes
PROVE,PROVE-USDT-SWAP,PROVEUSDT,0.0001,1.0,1.0,0.0001,1.0,1.0,5,yes
PYTH,PYTH-USDT-SWAP,PYTHUSDT,1e-05,1.0,1.0,1e-05,1.0,1.0,5,yes
QCOM,QCOM-USDT-SWAP,QCOMUSDT,0.01,0.01,0.01,0.01,0.01,0.01,5,no
QQQ,QQQ-USDT-SWAP,QQQUSDT,0.01,0.01,0.01,0.01,0.01,0.01,5,no
QTUM,QTUM-USDT-SWAP,QTUMUSDT,0.0001,1.0,1.0,0.0001,0.1,0.1,5,yes
RAVE,RAVE-USDT-SWAP,RAVEUSDT,0.0001,0.01,0.01,1e-05,1.0,1.0,5,yes
RDW,RDW-USDT-SWAP,RDWUSDT,0.01,0.1,0.1,0.001,0.1,0.1,5,no
RE,RE-USDT-SWAP,REUSDT,1e-05,1.0,1.0,0.0001,1.0,1.0,5,yes
RECALL,RECALL-USDT-SWAP,RECALLUSDT,1e-05,1.0,1.0,1e-05,1.0,1.0,5,yes
